lambda,Delta_lambda_rms,S,ResyncTrigger
0.940000,0.000000,-0.537443,0
0.939574,0.039574,-0.541383,0
0.939166,0.039166,-0.545152,0
0.938375,0.038375,-0.552471,0
0.937874,0.037874,-0.557108,0
0.936574,0.036574,-0.569159,0
0.935061,0.035061,-0.583203,0
0.934333,0.034333,-0.589962,0
0.933381,0.033381,-0.598818,0
0.932576,0.032576,-0.606314,0
0.932081,0.032081,-0.610931,0
0.930711,0.030711,-0.623707,0
0.929620,0.029620,-0.633894,0
0.929382,0.029382,-0.636111,0
0.929837,0.029837,-0.631866,0
0.929434,0.029434,-0.635626,0
0.928761,0.028761,-0.641925,0
0.927922,0.027922,-0.649773,0
0.926505,0.026505,-0.663043,0
0.925478,0.025478,-0.672682,0
0.924842,0.024842,-0.678651,0
0.923695,0.023695,-0.689432,0
0.923131,0.023131,-0.694738,0
0.922119,0.022119,-0.704261,0
0.921307,0.021307,-0.711909,0
0.920372,0.020372,-0.720734,0
0.919558,0.019558,-0.728421,0
0.918497,0.018497,-0.738441,0
0.917109,0.017109,-0.751582,0
0.916671,0.016671,-0.755735,0
0.915433,0.015433,-0.767469,0
0.914335,0.014335,-0.777895,0
0.914080,0.014080,-0.780317,0
0.913695,0.013695,-0.783978,0
0.913869,0.013869,-0.782319,0
0.912808,0.012808,-0.792410,0
0.911254,0.011254,-0.807209,0
0.909863,0.009863,-0.820483,0
0.908905,0.008905,-0.829629,0
0.907949,0.007949,-0.838771,0
0.906836,0.006836,-0.849424,0
0.905796,0.005796,-0.859393,0
0.905409,0.005409,-0.863101,0
0.904318,0.004318,-0.873581,0
0.903470,0.003470,-0.881721,0
0.902050,0.002050,-0.895386,0
0.901067,0.001067,-0.904858,0
0.899678,0.000322,-0.918253,0
0.898519,0.001481,-0.929457,0
0.897528,0.002472,-0.939043,0
0.897384,0.002616,-0.940434,0
0.895246,0.004754,-0.961156,0
0.894414,0.005586,-0.969233,0
0.894174,0.005826,-0.971554,0
0.894741,0.005259,-0.966049,0
0.893425,0.006575,-0.978836,0
0.892431,0.007569,-0.988505,0
0.891607,0.008393,-0.996532,0
0.890912,0.009088,-1.003305,0
0.900000,0.000000,-0.915150,1
0.898154,0.001846,-0.932981,0
0.897252,0.002748,-0.941709,0
0.895875,0.004125,-0.955051,0
0.894759,0.005241,-0.965876,0
0.893403,0.006597,-0.979053,0
0.892861,0.007139,-0.984326,0
0.891946,0.008054,-0.993227,0
0.890354,0.009646,-1.008745,0
0.900000,0.000000,-0.915150,1
0.899659,0.000341,-0.918443,0
0.898623,0.001377,-0.928450,0
0.898614,0.001386,-0.928537,0
0.897718,0.002282,-0.937202,0
0.896820,0.003180,-0.945896,0
0.896696,0.003304,-0.947096,0
0.895730,0.004270,-0.956454,0
0.895704,0.004296,-0.956706,0
0.894666,0.005334,-0.966783,0
0.893435,0.006565,-0.978740,0
0.892421,0.007579,-0.988604,0
0.891830,0.008170,-0.994355,0
0.891620,0.008380,-0.996406,0
0.890439,0.009561,-1.007914,0
0.900000,0.000000,-0.915150,1
0.899535,0.000465,-0.919637,0
0.898584,0.001416,-0.928822,0
0.898050,0.001950,-0.933990,0
0.896964,0.003036,-0.944499,0
0.895545,0.004455,-0.958251,0
0.894744,0.005256,-0.966023,0
0.894287,0.005713,-0.970466,0
0.893185,0.006815,-0.981169,0
0.891718,0.008282,-0.995449,0
0.890800,0.009200,-1.004398,0
0.890090,0.009910,-1.011324,0
0.900000,0.000000,-0.915150,1
0.899009,0.000991,-0.924716,0
0.897699,0.002301,-0.937389,0
0.896412,0.003588,-0.949849,0
0.895908,0.004092,-0.954735,0
